region,air_pollution,avg_salary,population,clearance_rate,life_expectancy,crime_rate,entertainment_places_rate,gdp,postgraduate_education,higher_education,household_spending,med_institution_rate,car_amount_rate,school_number_rate,transport_quanity_rate,unemployment_rate,sustainability_score
West Kazakhstan Region,0.742,0.16600886596058595,0.24052775344018962,1.0,0.7110389610389618,0.012416651617479513,0.8863354425824397,0.48755892734384504,0.7666666666666666,0.44311377245508954,0.85254713359064,0.678327792202475,0.0,0.5742196194423583,0.4976339749085622,0.22222222222222232,0.6074299660455686
Jetisu Region,0.8692,0.009247473741428536,0.24598258001339995,0.06003252180630306,0.7613636363636365,0.006844886239045778,0.3601574226033563,0.4047265705293214,0.6500000000000001,0.5329341317365257,0.6044617778406451,0.9293752184029481,0.03251954051506962,0.5022946733164817,0.004296745445570233,0.1111111111111116,0.5854197719118133
Kyzylorda Region,0.766,0.13071721097002242,0.3154852342421275,0.27156520668560097,0.7475649350649349,0.11024281555688842,0.40804276527150546,0.12582736145037682,0.6833333333333333,0.2664670658682633,0.8492533392608159,0.5513895471804408,0.32131426876907576,0.3663643101624008,0.4684513529824584,0.33333333333333304,0.5520687939552749
Turkistan Region,0.748,0.03432943154539836,0.9780281399783538,0.3399168615747531,0.8149350649350658,0.0,0.26397771593141806,0.43052190315582445,0.0,0.0,1.0,0.0,0.2079887043212313,0.46815301231101236,0.12414585077161668,0.0,0.5322625740619646
Almaty city,0.585,0.43161292282967967,0.9999999999999999,0.0,1.0,1.0,0.004144624199973128,0.6369771984929345,0.8833333333333333,0.5119760479041906,0.0,0.42565036888357766,0.5711048824141917,0.04375059458229208,0.2815045987290048,0.22222222222222232,0.5161536172165334
Almaty Region,0.712,0.11549044697811195,0.6620568984177704,0.1094707714095356,0.7199675324675332,0.5457258254927082,0.12196452442580256,0.11671896803122635,0.6500000000000001,0.5329341317365257,0.5892456604764889,0.2228602373677746,0.820197014490096,0.2482324279352418,0.4113892181444792,0.5555555555555554,0.5153612890817277
Abai Region,0.61,0.10776902585848891,0.20037829201669843,0.044521171001478343,0.7142857142857144,0.09583747279481758,0.38753254335860465,0.38899453124215283,0.7833333333333332,0.6287425149700585,0.861337320912563,0.8546043467020868,0.025767030115994845,0.5310082490126766,0.001296923472352207,0.22222222222222232,0.48115620871801934
Astana city,0.42863601050572875,0.6073790721465009,0.5839509354223573,0.05900899066996079,0.9983766233766237,0.8298290681973505,0.0,0.5872296911202166,1.0,1.0,0.2660496696102008,0.04580842667272167,0.5412428413769758,0.0,0.35876731477480783,0.666666666666667,0.47709993623977426
Mangystau Region,0.28163392756100225,0.786430286067342,0.28117352986651545,0.2444355347104547,0.8790584415584419,0.2391654611083227,0.1136958328370357,0.4394260965835559,0.7166666666666668,0.341317365269461,0.7723240446986077,0.7428080932671276,0.4240437100403734,0.16117872175662834,0.514017131541227,0.1111111111111116,0.4260684408293083
Atyrau Region,0.09679623495394196,1.0,0.24307838993970005,0.14512234758752351,0.7840909090909093,0.3960613201193607,0.2997345088048711,1.0,0.75,0.4161676646706587,0.769495018893851,0.7598596361483562,0.3599684971277477,0.26062648454032317,0.6473853706477705,0.44444444444444464,0.4141103280236593
North Kazakhstan Region,0.47371605325089905,0.0,0.16112405298149768,0.22570672589217905,0.5900974025974026,0.5398555754547666,0.9999999999999998,0.28014208115927863,0.75,0.6916167664670647,0.3421504637581587,0.7208566544599441,0.05526729413407245,1.0,0.6696251747415486,0.33333333333333304,0.3836278185092238
Jambyl Region,0.47182497371839927,0.02533855072268043,0.513611297222079,0.2987350105117643,0.8011363636363644,0.20222425134778077,0.34815879729315535,0.0,0.6500000000000001,0.22155688622754433,0.894275264210803,0.6496873285810244,0.42556869954083887,0.3852643278127984,0.34985422022907414,0.22222222222222232,0.37712790537283103
Akmola Region,0.3385284372490823,0.07810553396648756,0.292004329227439,0.2675787594291923,0.688311688311689,0.43671874752879525,0.702123291290097,0.3154235567721285,0.75,0.5688622754491011,0.5379392567745065,0.5836926838739324,0.5448837949709294,0.7808951076795777,0.42665384025261505,0.44444444444444464,0.3452301813441889
Ulytau Region,0.16643554184903975,0.5926621177693971,0.0,0.010875840354872324,0.5227272727272728,0.035767865345634364,0.41654875732045665,0.6017747610217122,0.8333333333333333,0.5658682634730541,0.34805100329379446,0.8710677358700084,0.03640056808115233,0.366860470226428,1.0,1.0,0.32217538189899375
East Kazakhstan Region,0.2568797556149992,0.20271515822667274,0.26221563675720244,0.2188294811420693,0.5982142857142864,0.7171025100689884,0.4211735649541949,0.4016539889062814,0.7833333333333332,0.6287425149700585,0.17026693879200616,0.6421258227266923,1.0,0.49550833854274956,0.0,0.5555555555555554,0.3158042914495326
Kostanay Region,0.11989400951266238,0.08076599738680368,0.3147528732670205,0.13766734545371617,0.6233766233766243,0.5611078793260191,0.6526240683372807,0.3719177887558723,0.7833333333333332,0.6317365269461073,0.6097560975609757,0.9341178850734254,0.5033672731555118,0.5985542450020432,0.3923309161446429,0.33333333333333304,0.23458151348218967
Aktobe Region,0.08864220498493891,0.1599654274804263,0.3642684121012214,0.1640196958942085,0.799512987012987,0.44803399890935736,0.4352181567804858,0.3509134198960297,0.8166666666666667,0.47604790419161613,0.6270939842786996,0.7306043751086474,0.363506003155897,0.4484637223493475,0.3276164599961006,0.44444444444444464,0.22177882547015618
Pavlodar Region,6.965354271137869e-07,0.15694033201773183,0.2749616038756893,0.22587120886604428,0.641233766233767,0.4250389334672746,0.6207466023789131,0.4289962499715501,0.8333333333333333,0.6227544910179628,0.41047143694303556,0.8917362457906429,0.50665238488375,0.4915925504808547,0.4685823685152478,0.44444444444444464,0.18243639761572347
Karaganda Region,0.0001147049727276972,0.19170867250303014,0.4707302994382312,0.11502991648782424,0.5925324675324676,0.5223578502749463,0.4185177366878935,0.4836849755752901,0.8333333333333333,0.5658682634730541,0.08838684907147343,0.9999999999999999,0.6329371229244641,0.3504367388734092,0.44737543970046084,0.8888888888888884,0.17522325840211445
